run_id,data_choice,data_split,target,l2r_hits@1,l2r_hits@10,l2r_mrr,l2r_mr,r2l_hits@1,r2l_hits@10,r2l_mrr,r2l_mr,avg_hits@1,avg_hits@10,avg_mrr,avg_mr
20260304-235807-MEAformer-transfer-adapt-target-fbdb15k-transfer-tgt-FBDB15K-norm-s42,FBDB15K,norm,FBDB15K,0.0108,0.0443,0.025,1326.854,0.0106,0.0443,0.025,1343.767,0.010700000000000001,0.0443,0.025,1335.3105
20260310-114730-MEAformer-transfer-adapt-target-fbdb15k-transfer-tgt-FBDB15K-norm-s2026,FBDB15K,norm,FBDB15K,0.0118,0.0491,0.027,1246.61,0.0116,0.051,0.027,1259.257,0.011699999999999999,0.05005,0.027,1252.9335
