run_id,data_choice,data_split,target,l2r_hits@1,l2r_hits@10,l2r_mrr,l2r_mr,r2l_hits@1,r2l_hits@10,r2l_mrr,r2l_mr,avg_hits@1,avg_hits@10,avg_mrr,avg_mr
20260313-181928-TMMEA-DA-transfer-adapt-v23b-target-fbyg15k-transfer-tgt-FBYG15K-norm-s42,FBYG15K,norm,FBYG15K,0.0378,0.1055,0.062,829.592,0.0378,0.1011,0.062,854.502,0.0378,0.1033,0.062,842.047
20260313-184125-TMMEA-DA-transfer-adapt-v23b-target-fbyg15k-transfer-tgt-FBYG15K-norm-s2026,FBYG15K,norm,FBYG15K,0.0376,0.1004,0.061,928.349,0.0355,0.0946,0.058,942.794,0.03655,0.0975,0.0595,935.5715
20260313-193644-TMMEA-DA-transfer-adapt-v23b-target-fbyg15k-transfer-tgt-FBYG15K-norm-s3407,FBYG15K,norm,FBYG15K,0.0385,0.0941,0.06,953.591,0.0383,0.093,0.059,966.933,0.038400000000000004,0.09355,0.0595,960.262
20260313-195504-TMMEA-DA-transfer-adapt-v23b-target-fbyg15k-transfer-tgt-FBYG15K-norm-s7,FBYG15K,norm,FBYG15K,0.0386,0.1,0.061,830.342,0.0366,0.0977,0.06,844.83,0.0376,0.09885,0.0605,837.586
20260313-201227-TMMEA-DA-transfer-adapt-v23b-target-fbyg15k-transfer-tgt-FBYG15K-norm-s123,FBYG15K,norm,FBYG15K,0.0364,0.106,0.061,820.434,0.0375,0.0996,0.061,843.684,0.03695,0.1028,0.061,832.059
