run_id,data_choice,data_split,target,l2r_hits@1,l2r_hits@10,l2r_mrr,l2r_mr,r2l_hits@1,r2l_hits@10,r2l_mrr,r2l_mr,avg_hits@1,avg_hits@10,avg_mrr,avg_mr
20260305-145613-TMMEA-DA-transfer-adapt-v5-target-ja_en-transfer-tgt-DBP15K-ja_en-s42,DBP15K,ja_en,ja_en,0.4328,0.6607,0.509,75.991,0.4294,0.6609,0.509,74.631,0.43110000000000004,0.6608,0.509,75.311
20260305-153953-TMMEA-DA-transfer-adapt-v5-target-fbdb15k-transfer-tgt-FBDB15K-norm-s42,FBDB15K,norm,FBDB15K,0.0101,0.0439,0.024,1326.947,0.01,0.0444,0.024,1345.704,0.01005,0.04415,0.024,1336.3255
20260305-155254-TMMEA-DA-transfer-adapt-v5-target-ja_en-transfer-tgt-DBP15K-ja_en-s3407,DBP15K,ja_en,ja_en,0.4342,0.6587,0.511,65.327,0.4303,0.657,0.507,64.994,0.43225,0.65785,0.509,65.1605
20260305-163609-TMMEA-DA-transfer-adapt-v5-target-fbdb15k-transfer-tgt-FBDB15K-norm-s3407,FBDB15K,norm,FBDB15K,0.0109,0.0458,0.025,1289.714,0.0105,0.0474,0.025,1299.0,0.010700000000000001,0.0466,0.025,1294.357
