bucket_type,bucket_name,num_targets,mean_delta_avg_hits@1_mean,mean_delta_avg_hits@10_mean,mean_delta_avg_mrr_mean,mean_delta_avg_mr_mean
scenario,cross_graph,2,0.003254999999999999,0.01015000000000001,0.005550000000000001,-124.81350000000003
scenario,cross_lingual,2,0.010539999999999994,0.015149999999999997,0.0121,-8.535150000000005
confidence_level,formal_5seed,4,0.0068974999999999965,0.012650000000000003,0.008825000000000001,-66.67432500000001
difficulty_bucket,easy,2,0.010539999999999994,0.015149999999999997,0.0121,-8.535150000000005
difficulty_bucket,hard,1,0.0019699999999999995,0.004620000000000013,0.002800000000000004,-42.810299999999984
difficulty_bucket,very_hard,1,0.004539999999999999,0.015680000000000006,0.008299999999999998,-206.81670000000008
