run_id,data_choice,data_split,target,l2r_hits@1,l2r_hits@10,l2r_mrr,l2r_mr,r2l_hits@1,r2l_hits@10,r2l_mrr,r2l_mr,avg_hits@1,avg_hits@10,avg_mrr,avg_mr
20260305-233633-MEAformer-transfer-adapt-target-fr_en-transfer-tgt-DBP15K-fr_en-s42,DBP15K,fr_en,fr_en,0.4563,0.6826,0.532,49.798,0.4599,0.6859,0.535,49.764,0.45809999999999995,0.68425,0.5335000000000001,49.781000000000006
20260306-021952-MEAformer-transfer-adapt-target-fr_en-transfer-tgt-DBP15K-fr_en-s3407,DBP15K,fr_en,fr_en,0.4636,0.692,0.542,44.839,0.4676,0.6953,0.543,45.159,0.4656,0.69365,0.5425,44.998999999999995
20260308-022602-MEAformer-transfer-adapt-target-fr_en-transfer-tgt-DBP15K-fr_en-s2026,DBP15K,fr_en,fr_en,0.4604,0.6748,0.533,55.764,0.4573,0.6713,0.531,55.786,0.45885,0.6730499999999999,0.532,55.775000000000006
20260308-083317-MEAformer-transfer-adapt-target-fr_en-transfer-tgt-DBP15K-fr_en-s7,DBP15K,fr_en,fr_en,0.4555,0.6679,0.527,68.679,0.4565,0.6702,0.529,67.182,0.456,0.66905,0.528,67.9305
20260308-135912-MEAformer-transfer-adapt-target-fr_en-transfer-tgt-DBP15K-fr_en-s123,DBP15K,fr_en,fr_en,0.4613,0.6891,0.539,42.325,0.4643,0.6899,0.539,44.632,0.4628,0.6895,0.539,43.4785
