run_id,data_choice,data_split,target,l2r_hits@1,l2r_hits@10,l2r_mrr,l2r_mr,r2l_hits@1,r2l_hits@10,r2l_mrr,r2l_mr,avg_hits@1,avg_hits@10,avg_mrr,avg_mr
20260305-214537-TMMEA-DA-transfer-adapt-v7b-target-fbdb15k-transfer-tgt-FBDB15K-norm-s42,FBDB15K,norm,FBDB15K,0.0111,0.0459,0.026,1296.557,0.0119,0.0468,0.026,1309.143,0.0115,0.04635,0.026,1302.85
20260305-215928-TMMEA-DA-transfer-adapt-v7b-target-fbdb15k-transfer-tgt-FBDB15K-norm-s3407,FBDB15K,norm,FBDB15K,0.0117,0.0468,0.026,1289.09,0.0115,0.0478,0.026,1298.692,0.0116,0.0473,0.026,1293.891
20260310-140455-TMMEA-DA-transfer-adapt-v7b-target-fbdb15k-transfer-tgt-FBDB15K-norm-s2026,FBDB15K,norm,FBDB15K,0.012,0.0547,0.029,1237.63,0.012,0.0544,0.029,1246.499,0.012,0.05455,0.029,1242.0645
20260310-182200-TMMEA-DA-transfer-adapt-v7b-target-fbdb15k-transfer-tgt-FBDB15K-norm-s7,FBDB15K,norm,FBDB15K,0.0119,0.0497,0.028,1280.67,0.011,0.0527,0.027,1285.486,0.01145,0.051199999999999996,0.0275,1283.078
20260310-223930-TMMEA-DA-transfer-adapt-v7b-target-fbdb15k-transfer-tgt-FBDB15K-norm-s123,FBDB15K,norm,FBDB15K,0.0103,0.0496,0.026,1326.969,0.0102,0.0478,0.026,1331.196,0.01025,0.0487,0.026,1329.0825
