run_id,data_choice,data_split,target,l2r_hits@1,l2r_hits@10,l2r_mrr,l2r_mr,r2l_hits@1,r2l_hits@10,r2l_mrr,r2l_mr,avg_hits@1,avg_hits@10,avg_mrr,avg_mr
20260312-233554-TMMEA-DA-transfer-adapt-v22a-target-fbyg15k-transfer-tgt-FBYG15K-norm-s42,FBYG15K,norm,FBYG15K,0.0371,0.1014,0.061,840.933,0.0362,0.0991,0.06,870.766,0.03665,0.10025,0.0605,855.8495
20260312-235736-TMMEA-DA-transfer-adapt-v22a-target-fbyg15k-transfer-tgt-FBYG15K-norm-s2026,FBYG15K,norm,FBYG15K,0.0358,0.0938,0.057,947.869,0.0344,0.0884,0.055,969.088,0.0351,0.0911,0.056,958.4784999999999
