run_id,lang_pair,l2r_hits@1,l2r_hits@10,l2r_mrr,r2l_hits@1,r2l_hits@10,r2l_mrr
20260228-205727-TMMEA-DA-v1-DBP15K-zh_en-s42,zh_en,0.5488,0.8402,0.647,0.5522,0.8381,0.647
20260228-212025-TMMEA-DA-v1-DBP15K-zh_en-s3407,zh_en,0.5476,0.8408,0.647,0.5525,0.8403,0.649
20260228-213208-TMMEA-DA-v1-DBP15K-zh_en-s2026,zh_en,0.5487,0.8416,0.646,0.5498,0.8388,0.646
20260228-214257-TMMEA-DA-v1-DBP15K-zh_en-s7,zh_en,0.5596,0.8387,0.653,0.5563,0.8416,0.651
20260228-215418-TMMEA-DA-v1-DBP15K-zh_en-s123,zh_en,0.5572,0.8429,0.653,0.5547,0.8432,0.652
