run_id,lang_pair,l2r_hits@1,l2r_hits@10,l2r_mrr,r2l_hits@1,r2l_hits@10,r2l_mrr
20260303-071308-MEAformer-epoch10-pilot-FBDB15K-norm-s42,FBDB15K,0.2158,0.518,0.318,0.2145,0.5223,0.318
20260303-073818-MEAformer-epoch10-pilot-FBDB15K-norm-s3407,FBDB15K,0.2205,0.5377,0.323,0.219,0.5379,0.323
