lang_pair,num_runs,l2r_hits@1_mean,l2r_hits@1_std,l2r_hits@10_mean,l2r_hits@10_std,l2r_mrr_mean,l2r_mrr_std,r2l_hits@1_mean,r2l_hits@1_std,r2l_hits@10_mean,r2l_hits@10_std,r2l_mrr_mean,r2l_mrr_std
FBDB15K,5,0.0986,0.002,0.3243,0.0048,0.173,0.0023,0.1058,0.0028,0.3326,0.0052,0.181,0.0027
FBYG15K,5,0.0857,0.0017,0.2756,0.0099,0.1498,0.0036,0.0894,0.0025,0.2759,0.0102,0.1524,0.0046
fr_en,5,0.5408,0.0049,0.8473,0.003,0.6424,0.0045,0.5392,0.0029,0.8509,0.0039,0.6418,0.0031
ja_en,5,0.5994,0.0022,0.8513,0.004,0.6838,0.0023,0.5984,0.0026,0.8518,0.0033,0.683,0.0028
zh_en,5,0.6426,0.0037,0.8757,0.0021,0.7224,0.0031,0.6375,0.0034,0.8681,0.0022,0.7164,0.0034
