lang_pair,num_runs,l2r_hits@1_mean,l2r_hits@1_std,l2r_hits@10_mean,l2r_hits@10_std,l2r_mrr_mean,l2r_mrr_std,r2l_hits@1_mean,r2l_hits@1_std,r2l_hits@10_mean,r2l_hits@10_std,r2l_mrr_mean,r2l_mrr_std
FBDB15K,5,0.1903,0.0122,0.4904,0.0157,0.2882,0.0135,0.1954,0.0128,0.4921,0.0179,0.2934,0.0142
FBYG15K,5,0.1614,0.0056,0.4144,0.0094,0.2458,0.0065,0.1617,0.0057,0.4153,0.0105,0.246,0.0068
