run_id,lang_pair,l2r_hits@1,l2r_hits@10,l2r_mrr,r2l_hits@1,r2l_hits@10,r2l_mrr
20260302-172128-MEAformer-epoch8-pilot-DBP15K-zh_en-s42,zh_en,0.6612,0.9134,0.746,0.6589,0.9143,0.746
20260302-184529-MEAformer-epoch8-pilot-DBP15K-zh_en-s3407,zh_en,0.6557,0.9092,0.743,0.6581,0.9095,0.744
