run_id,lang_pair,l2r_hits@1,l2r_hits@10,l2r_mrr,r2l_hits@1,r2l_hits@10,r2l_mrr
20260303-035236-TMMEA-DA-v1-best-epoch10-pilot-DBP15K-zh_en-s42,zh_en,0.6652,0.9173,0.751,0.664,0.915,0.751
20260303-053305-TMMEA-DA-v1-best-epoch10-pilot-DBP15K-zh_en-s3407,zh_en,0.6629,0.9152,0.749,0.6646,0.9143,0.75
